Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,132000.000000,153000.000000,126500.000000,147500.000000,125916.968750,10251020
2016-03-01,147500.000000,159500.000000,143500.000000,152500.000000,130185.335938,10301411
2016-04-01,152500.000000,155000.000000,142000.000000,143500.000000,122502.265625,7926098
2016-05-01,142000.000000,144000.000000,131500.000000,139500.000000,119087.601563,9731425
2016-06-01,137500.000000,144000.000000,133500.000000,135500.000000,115672.890625,12447763
2016-07-01,136500.000000,139500.000000,128500.000000,132000.000000,113501.578125,12173772
2016-08-01,132500.000000,138000.000000,129500.000000,133000.000000,114361.429688,10540385
2016-09-01,133000.000000,142000.000000,131500.000000,135500.000000,116511.093750,10375055
2016-10-01,135500.000000,141500.000000,131000.000000,140000.000000,120380.460938,9719714
2016-11-01,141000.000000,141500.000000,129000.000000,133000.000000,114361.429688,10564720
2016-12-01,133000.000000,148000.000000,132000.000000,146000.000000,125539.625000,8047692
2017-01-01,146000.000000,155500.000000,139000.000000,139500.000000,122493.656250,9430966
2017-02-01,140000.000000,151500.000000,135500.000000,149500.000000,131274.546875,8920844
2017-03-01,149500.000000,171000.000000,140000.000000,157500.000000,138299.265625,13885644
2017-04-01,156500.000000,157000.000000,136500.000000,144000.000000,126445.046875,12552830
2017-05-01,144000.000000,173000.000000,143000.000000,163000.000000,143128.781250,13326549
2017-06-01,162500.000000,170000.000000,157000.000000,159500.000000,140055.468750,9282685
2017-07-01,158500.000000,164000.000000,144500.000000,145000.000000,128123.929688,12897025
2017-08-01,145000.000000,151000.000000,138500.000000,140500.000000,124147.664063,10120323
2017-09-01,141000.000000,151000.000000,133000.000000,150500.000000,132983.781250,10852741
2017-10-01,150500.000000,162000.000000,146500.000000,161000.000000,142261.734375,10877800
2017-11-01,159000.000000,166500.000000,153000.000000,164500.000000,145354.375000,10880854
2017-12-01,164500.000000,165500.000000,148000.000000,156000.000000,137843.687500,8525536
2018-01-01,156000.000000,167500.000000,145500.000000,162000.000000,145989.312500,12990959
2018-02-01,161500.000000,164000.000000,152000.000000,161500.000000,145538.703125,9078933
2018-03-01,161500.000000,161500.000000,142500.000000,143500.000000,129317.695313,11411614
2018-04-01,144500.000000,165500.000000,144000.000000,160000.000000,144186.953125,12220708
