Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.000000,148000.000000,133500.000000,136500.000000,116526.539063,3220122
2016-01-11,134500.000000,143500.000000,134000.000000,138500.000000,118233.898438,2501073
2016-01-18,137500.000000,140500.000000,135500.000000,139000.000000,118660.750000,2285396
2016-01-25,140000.000000,140500.000000,131000.000000,133000.000000,113538.687500,3281741
2016-02-01,132000.000000,133500.000000,126500.000000,133500.000000,113965.515625,3047107
2016-02-08,133500.000000,137500.000000,130500.000000,137000.000000,116953.390625,1953772
2016-02-15,137500.000000,151000.000000,135000.000000,149000.000000,127197.492188,3123329
2016-02-22,147500.000000,153000.000000,144500.000000,147000.000000,125490.125000,1556695
2016-02-29,145500.000000,151500.000000,143500.000000,147500.000000,125916.960938,2434035
2016-03-07,147500.000000,150000.000000,145000.000000,149000.000000,127197.492188,2235129
2016-03-14,150000.000000,150500.000000,145500.000000,150500.000000,128477.992188,2138715
2016-03-21,151000.000000,159500.000000,149500.000000,153000.000000,130612.195313,2699023
2016-03-28,153000.000000,159000.000000,147500.000000,149500.000000,127624.328125,1969061
2016-04-04,148500.000000,149500.000000,143500.000000,146000.000000,124636.453125,2145793
2016-04-11,147500.000000,152000.000000,145000.000000,151500.000000,129331.664063,1353209
2016-04-18,150000.000000,155000.000000,150000.000000,151000.000000,128904.828125,1603594
2016-04-25,151000.000000,154000.000000,142000.000000,143500.000000,122502.257813,2219067
2016-05-02,142000.000000,144000.000000,138500.000000,139000.000000,118660.750000,1408405
2016-05-09,138500.000000,142000.000000,135000.000000,135000.000000,115246.046875,2064442
2016-05-16,136500.000000,137500.000000,131500.000000,132000.000000,112685.007813,2194533
2016-05-23,133000.000000,137000.000000,132000.000000,136000.000000,116099.718750,1855408
2016-05-30,136000.000000,139500.000000,135000.000000,138500.000000,118233.898438,3488466
2016-06-06,138500.000000,141500.000000,137500.000000,139000.000000,118660.750000,2135873
2016-06-13,138000.000000,139500.000000,133500.000000,134500.000000,114819.195313,2045498
2016-06-20,136000.000000,142000.000000,134500.000000,139500.000000,119087.585938,2247987
2016-06-27,141000.000000,144000.000000,135500.000000,137000.000000,116953.390625,5126963
2016-07-04,138000.000000,139500.000000,129000.000000,130500.000000,112211.773438,2830008
2016-07-11,130500.000000,135500.000000,130500.000000,133000.000000,114361.421875,2661325
2016-07-18,133000.000000,134000.000000,128500.000000,129000.000000,110921.992188,2385649
2016-07-25,129500.000000,139500.000000,129500.000000,132000.000000,113501.570313,3908403
2016-08-01,132500.000000,136000.000000,129500.000000,133000.000000,114361.421875,2273020
2016-08-08,134000.000000,137000.000000,132000.000000,136000.000000,116941.015625,2235030
2016-08-15,136000.000000,137000.000000,132000.000000,132500.000000,113931.500000,1897356
2016-08-22,132500.000000,138000.000000,131000.000000,135500.000000,116511.093750,2853920
2016-08-29,134000.000000,136500.000000,131000.000000,135000.000000,116081.164063,2983376
2016-09-05,136000.000000,140500.000000,136000.000000,139500.000000,119950.539063,2688360
2016-09-12,138500.000000,140500.000000,137500.000000,138500.000000,119090.656250,1008268
2016-09-19,137000.000000,142000.000000,136000.000000,142000.000000,122100.187500,2474813
2016-09-26,140500.000000,142000.000000,135000.000000,135500.000000,116511.093750,2501297
2016-10-03,135500.000000,141000.000000,135500.000000,136500.000000,117370.937500,1978870
2016-10-10,134000.000000,137000.000000,131000.000000,133000.000000,114361.421875,2290656
2016-10-17,134500.000000,136500.000000,131500.000000,133500.000000,114791.351563,2171217
2016-10-24,134500.000000,141500.000000,133500.000000,140500.000000,120810.382813,2884499
2016-10-31,139000.000000,141500.000000,135500.000000,136000.000000,116941.015625,2353854
2016-11-07,137500.000000,140000.000000,129000.000000,131500.000000,113071.632813,3609261
2016-11-14,132000.000000,134000.000000,129500.000000,129500.000000,111351.929688,1665460
2016-11-21,130000.000000,136000.000000,129500.000000,136000.000000,116941.015625,1573293
2016-11-28,135000.000000,136000.000000,132000.000000,133500.000000,114791.351563,2639261
2016-12-05,134500.000000,145000.000000,133000.000000,144000.000000,123819.906250,2435167
2016-12-12,146000.000000,148000.000000,139000.000000,139500.000000,119950.539063,1732898
2016-12-19,140000.000000,144500.000000,139500.000000,144000.000000,123819.906250,1695819
2016-12-26,143500.000000,146000.000000,141500.000000,146000.000000,125539.609375,1301871
2017-01-02,146000.000000,155000.000000,145500.000000,151000.000000,132591.703125,2628621
2017-01-09,151000.000000,153000.000000,147500.000000,149000.000000,130835.515625,2139530
2017-01-16,148500.000000,155500.000000,148500.000000,153000.000000,134347.890625,1764502
2017-01-23,151500.000000,152000.000000,139500.000000,142500.000000,125127.929688,2324100
2017-01-30,142500.000000,142500.000000,135500.000000,137500.000000,120737.460938,2084544
2017-02-06,139000.000000,141500.000000,136000.000000,141000.000000,123810.789063,1948356
2017-02-13,141500.000000,151500.000000,139000.000000,150500.000000,132152.640625,2774095
2017-02-20,149500.000000,151500.000000,145000.000000,148000.000000,129957.421875,2027301
2017-02-27,148500.000000,150500.000000,141000.000000,142000.000000,124688.882813,2095269
2017-03-06,141500.000000,146500.000000,140000.000000,146000.000000,128201.226563,2295073
2017-03-13,145500.000000,152500.000000,145000.000000,151500.000000,133030.734375,2061371
2017-03-20,152500.000000,171000.000000,151500.000000,164000.000000,144006.859375,5355074
2017-03-27,162000.000000,163000.000000,155500.000000,157500.000000,138299.281250,2739618
2017-04-03,156500.000000,157000.000000,144000.000000,144500.000000,126884.085938,3358623
2017-04-10,145000.000000,147500.000000,141000.000000,142500.000000,125127.929688,2073402
2017-04-17,142500.000000,144500.000000,136500.000000,141500.000000,124249.820313,3253458
2017-04-24,141000.000000,152000.000000,139500.000000,144000.000000,126445.062500,3867347
2017-05-01,144000.000000,153000.000000,143000.000000,152000.000000,133469.781250,1442811
2017-05-08,152000.000000,160500.000000,150500.000000,155000.000000,136104.046875,2887849
2017-05-15,153000.000000,171000.000000,152000.000000,170000.000000,149275.406250,4308585
2017-05-22,169000.000000,173000.000000,163000.000000,163500.000000,143567.812500,3320506
2017-05-29,163000.000000,166500.000000,160500.000000,163000.000000,143128.781250,2377147
2017-06-05,163500.000000,165500.000000,157000.000000,160000.000000,140494.500000,2009430
2017-06-12,158000.000000,170000.000000,158000.000000,165000.000000,144884.953125,2557018
2017-06-19,164500.000000,169000.000000,160000.000000,164000.000000,144006.859375,1960063
2017-06-26,163000.000000,165000.000000,158000.000000,159500.000000,140055.468750,1745825
2017-07-03,158500.000000,164000.000000,150500.000000,151500.000000,133867.421875,2611592
2017-07-10,151000.000000,154500.000000,146500.000000,154000.000000,136076.437500,3375976
2017-07-17,153500.000000,154000.000000,145000.000000,147500.000000,130332.945313,2299985
2017-07-24,148000.000000,150000.000000,144500.000000,149500.000000,132100.203125,3737872
2017-07-31,149500.000000,151000.000000,144500.000000,150000.000000,132541.984375,2913354
2017-08-07,150500.000000,151000.000000,141000.000000,142000.000000,125473.093750,2510990
2017-08-14,142500.000000,146000.000000,141500.000000,144500.000000,127682.093750,1241186
2017-08-21,145000.000000,150000.000000,143000.000000,144500.000000,127682.093750,2076431
2017-08-28,144000.000000,146000.000000,138500.000000,143000.000000,126356.671875,2791010
2017-09-04,140000.000000,142500.000000,133000.000000,135500.000000,119729.609375,2736244
2017-09-11,134500.000000,137500.000000,133000.000000,136500.000000,120613.203125,2730655
2017-09-18,136500.000000,143500.000000,135500.000000,142000.000000,125473.093750,2563535
2017-09-25,141000.000000,151000.000000,140000.000000,150500.000000,132983.781250,2281259
2017-10-02,150500.000000,150500.000000,150500.000000,150500.000000,132983.781250,0
2017-10-09,150500.000000,156500.000000,147500.000000,154500.000000,136518.250000,3101009
2017-10-16,154500.000000,155000.000000,147000.000000,151500.000000,133867.421875,2429027
2017-10-23,151000.000000,161500.000000,146500.000000,158500.000000,140052.687500,3901992
2017-10-30,160000.000000,164000.000000,154500.000000,161500.000000,142703.546875,2827197
2017-11-06,160000.000000,163000.000000,153000.000000,154500.000000,136518.250000,2547345
2017-11-13,156500.000000,163000.000000,156000.000000,157000.000000,138727.265625,2611919
2017-11-20,155500.000000,159500.000000,154000.000000,159000.000000,140494.500000,1712910
2017-11-27,158500.000000,166500.000000,155000.000000,161500.000000,142703.546875,3156304
2017-12-04,160500.000000,163000.000000,157000.000000,158500.000000,140052.687500,2026390
2017-12-11,158000.000000,158500.000000,148000.000000,154000.000000,136076.437500,3542437
2017-12-18,154000.000000,155500.000000,150000.000000,153000.000000,135192.828125,1257343
2017-12-25,153000.000000,157000.000000,150000.000000,156000.000000,137843.687500,1170317
2018-01-01,156000.000000,156000.000000,145500.000000,149000.000000,134274.125000,2577890
2018-01-08,148500.000000,158000.000000,147500.000000,154000.000000,138779.968750,2643772
2018-01-15,154000.000000,162000.000000,151000.000000,162000.000000,145989.281250,2081097
2018-01-22,162500.000000,167500.000000,149000.000000,152500.000000,137428.187500,3798731
2018-01-29,153000.000000,164000.000000,152000.000000,162500.000000,146439.890625,3180636
2018-02-05,162500.000000,163500.000000,153500.000000,155000.000000,139681.125000,3519128
2018-02-12,155500.000000,156500.000000,152000.000000,154500.000000,139230.515625,1348444
2018-02-19,156500.000000,161000.000000,152500.000000,159000.000000,143285.796875,1636538
2018-02-26,159000.000000,163000.000000,154500.000000,156000.000000,140582.312500,1874762
2018-03-05,155500.000000,158000.000000,152000.000000,154000.000000,138779.968750,2334004
2018-03-12,154000.000000,159500.000000,152000.000000,157500.000000,141934.031250,2126040
2018-03-19,152500.000000,155000.000000,150000.000000,151500.000000,136527.031250,2246452
2018-03-26,151000.000000,155000.000000,142500.000000,143500.000000,129317.679688,4114012
2018-04-02,144500.000000,159500.000000,144000.000000,152500.000000,137428.187500,4808323
2018-04-09,152000.000000,153000.000000,149000.000000,150500.000000,135625.859375,1742410
2018-04-16,151000.000000,160000.000000,150000.000000,160000.000000,144186.953125,2232327
2018-04-23,160000.000000,165500.000000,154000.000000,158000.000000,142384.609375,3085837
2018-04-30,159000.000000,163000.000000,156500.000000,158000.000000,142384.609375,1502561
2018-05-07,158000.000000,161000.000000,150500.000000,153000.000000,137878.796875,2176231
