Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.000000,148000.000000,143500.000000,144000.000000,122929.101563,445332
2016-01-05,143000.000000,145000.000000,142000.000000,143500.000000,122502.289063,530496
2016-01-06,144000.000000,145000.000000,139000.000000,140000.000000,119514.398438,769406
2016-01-07,138500.000000,140000.000000,137500.000000,137500.000000,117380.210938,586187
2016-01-08,134500.000000,138000.000000,133500.000000,136500.000000,116526.562500,888701
2016-01-11,134500.000000,140500.000000,134000.000000,140000.000000,119514.398438,542749
2016-01-12,140500.000000,141500.000000,139000.000000,139500.000000,119087.554688,386506
2016-01-13,140500.000000,141500.000000,139500.000000,140500.000000,119941.257813,338336
2016-01-14,138500.000000,143500.000000,136500.000000,141000.000000,120368.101563,664829
2016-01-15,141000.000000,142000.000000,136500.000000,138500.000000,118233.929688,568653
2016-01-18,137500.000000,140000.000000,135500.000000,139000.000000,118660.742188,400716
2016-01-19,138000.000000,140000.000000,136000.000000,140000.000000,119514.398438,332956
2016-01-20,139500.000000,140000.000000,135500.000000,136500.000000,116526.562500,544330
2016-01-21,136000.000000,138000.000000,135500.000000,137000.000000,116953.382813,455723
2016-01-22,138000.000000,140500.000000,136500.000000,139000.000000,118660.742188,551671
2016-01-25,140000.000000,140500.000000,136000.000000,137500.000000,117380.210938,543064
2016-01-26,136500.000000,137000.000000,134500.000000,136000.000000,116099.710938,564584
2016-01-27,135500.000000,137000.000000,134500.000000,137000.000000,116953.382813,702981
2016-01-28,135500.000000,136500.000000,134500.000000,135000.000000,115246.046875,480730
2016-01-29,135000.000000,136000.000000,131000.000000,133000.000000,113538.687500,990382
2016-02-01,132000.000000,132500.000000,130500.000000,132500.000000,113111.843750,689972
2016-02-02,131500.000000,132500.000000,129000.000000,129500.000000,110550.820313,594441
2016-02-03,127500.000000,129500.000000,126500.000000,129000.000000,110123.992188,649021
2016-02-04,130000.000000,132500.000000,129500.000000,132500.000000,113111.843750,600523
2016-02-05,132000.000000,133500.000000,131000.000000,133500.000000,113965.523438,513150
2016-02-11,130500.000000,132500.000000,130500.000000,131000.000000,111831.351563,688873
2016-02-12,131500.000000,137500.000000,131000.000000,137000.000000,116953.382813,1264899
2016-02-15,137500.000000,141500.000000,135000.000000,139500.000000,119087.554688,879160
2016-02-16,139500.000000,142500.000000,137500.000000,141000.000000,120368.101563,524822
2016-02-17,142000.000000,147500.000000,141000.000000,147000.000000,125490.132813,772996
2016-02-18,147500.000000,149000.000000,145500.000000,147000.000000,125490.132813,468798
2016-02-19,147000.000000,151000.000000,147000.000000,149000.000000,127197.492188,477553
